9,3,-5.0,896,52,1086
baseline,9,-1.87,0,4,248
9,3,-5.0,803,69,1072
baseline,9,-1.87,0,4,284
9,3,-5.0,893,63,1257
baseline,9,-1.87,0,3,241
9,3,-5.0,1160,147,1496
baseline,9,-0.61,0,7,2107
20,5,-5.0,5,19,182578
11,3,0.0,0,11,366961
11,3,0.0,0,11,1074
11,3,-7.0,7,8,1129
11,3,0.0,0,11,1118
30,5,-5.0,5,15,10204
