U,X,Y
63.270328,300,1000
63.270328,300,1050
59.094399,300,1100
59.094399,300,1150
67.348498,300,1200
67.348498,300,1250
70.157558,300,1300
70.157558,300,1350
72.501388,300,1400
72.501388,300,1450
65.266628,300,1500
65.266628,300,1550
7.104145,300,1600
7.104145,300,1650
0,300,1700
0,300,1750
0,300,1800
0,300,1850
0,300,1900
0,300,1950
0,300,2000
0,300,2050
0,300,2100
0,300,2150
42.063492,300,2200
42.063492,300,2250
42.063492,300,2300
42.063492,300,2350
42.063492,300,2400
42.063492,300,2450
53.650794,350,0
53.650794,350,50
67.035089,350,100
67.035089,350,150
72.260084,350,200
72.260084,350,250
53.650794,350,300
53.650794,350,350
0,350,400
0,350,450
0,350,500
0,350,550
0,350,600
0,350,650
0,350,700
0,350,750
9.86914,350,800
9.86914,350,850
12.481525,350,900
12.481525,350,950
63.270328,350,1000
63.270328,350,1050
59.094399,350,1100
59.094399,350,1150
67.348498,350,1200
67.348498,350,1250
70.157558,350,1300
70.157558,350,1350
72.501388,350,1400
72.501388,350,1450
65.266628,350,1500
65.266628,350,1550
7.104145,350,1600
7.104145,350,1650
0,350,1700
0,350,1750
0,350,1800
0,350,1850
0,350,1900
0,350,1950
0,350,2000
0,350,2050
0,350,2100
0,350,2150
42.063492,350,2200
42.063492,350,2250
42.063492,350,2300
42.063492,350,2350
42.063492,350,2400
42.063492,350,2450
53.650794,400,0
53.650794,400,50
53.650794,400,100
53.650794,400,150
73.815734,400,200
73.815734,400,250
53.650794,400,300
53.650794,400,350
0,400,400
0,400,450
0,400,500
0,400,550
0,400,600
0,400,650
0,400,700
0,400,750
18.6347,400,800
18.6347,400,850
15.58478,400,900
15.58478,400,950
55.006518,400,1000
55.006518,400,1050
57.162298,400,1100
57.162298,400,1150
67.046378,400,1200
67.046378,400,1250
61.915278,400,1300
61.915278,400,1350
76.481498,400,1400
76.481498,400,1450
67.700648,400,1500
67.700648,400,1550
12.43961,400,1600
12.43961,400,1650
0,400,1700
0,400,1750
0,400,1800
0,400,1850
0,400,1900
0,400,1950
0,400,2000
0,400,2050
0,400,2100
0,400,2150
42.063492,400,2200
42.063492,400,2250
42.063492,400,2300
42.063492,400,2350
42.063492,400,2400
42.063492,400,2450
49.047619,450,0
49.047619,450,50
49.047619,450,100
49.047619,450,150
